38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
09:40:19.0 (108452)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
09:40:19.2 (2409279)|CODE_UNIT_STARTED|[EXTERNAL]|01pB0000000lc07|ListServerController.getListRecords
09:40:19.2 (2474793)|VARIABLE_SCOPE_BEGIN|[3]|ListServerController.mapObjectsFields|Map<String,Set<String>>|true|true
09:40:19.2 (2537496)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:180
09:40:19.2 (2545841)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
09:40:19.2 (2548957)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:27
09:40:19.2 (2570827)|METHOD_ENTRY|[1]|01pB0000000lc07|ListServerController.ListServerController()
09:40:19.2 (2575984)|STATEMENT_EXECUTE|[1]
09:40:19.2 (2582362)|STATEMENT_EXECUTE|[1]
09:40:19.2 (2626693)|HEAP_ALLOCATE|[50]|Bytes:5
09:40:19.2 (2663776)|HEAP_ALLOCATE|[56]|Bytes:5
09:40:19.2 (2674566)|HEAP_ALLOCATE|[64]|Bytes:7
09:40:19.2 (2701889)|SYSTEM_MODE_ENTER|false
09:40:19.2 (2725783)|HEAP_ALLOCATE|[3]|Bytes:5
09:40:19.2 (2730505)|STATEMENT_EXECUTE|[3]
09:40:19.2 (2769058)|VARIABLE_ASSIGNMENT|[3]|ListServerController.mapObjectsFields|null|
09:40:19.2 (2779071)|SYSTEM_MODE_EXIT|false
09:40:19.2 (2796391)|METHOD_EXIT|[1]|ListServerController
09:40:19.2 (2802706)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
09:40:19.2 (2805099)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
09:40:19.2 (2806446)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
09:40:19.2 (2807565)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:40:19.2 (2808762)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:40:19.2 (2815007)|SYSTEM_MODE_ENTER|false
09:40:19.2 (2822427)|VARIABLE_SCOPE_BEGIN|[23]|rowsLimit|String|false|false
09:40:19.2 (2831707)|VARIABLE_ASSIGNMENT|[23]|rowsLimit|"8"
09:40:19.2 (2833811)|VARIABLE_SCOPE_BEGIN|[23]|objectApiName|String|false|false
09:40:19.2 (2836768)|VARIABLE_ASSIGNMENT|[23]|objectApiName|"Account"
09:40:19.2 (2839107)|VARIABLE_SCOPE_BEGIN|[23]|filter1Field|String|false|false
09:40:19.2 (2841578)|VARIABLE_ASSIGNMENT|[23]|filter1Field|null
09:40:19.2 (2843225)|VARIABLE_SCOPE_BEGIN|[23]|filter1Value|String|false|false
09:40:19.2 (2845592)|VARIABLE_ASSIGNMENT|[23]|filter1Value|null
